"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:MFS_IR(8.0.1)","DNK.MFS166_RT_PT_A_PT.A","OBS_VALUE","Denmark","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","5.5","4.5","5.0","5.5","6.5","6.5","5.5","6.5","6.5","6.5","7.5","6.0","9.0","9.0","7.5","7.0","9.0","10.0","7.5","10.0","9.0","8.0","11.0","11.0","11.0","10.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","8.5","9.5","9.5","6.25","5.0","4.25","3.25","3.5","3.5","3.0","4.75","3.25","2.86","2.0","2.0","2.25","3.5","4.0","3.5","1.0","0.75","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.6","1.75","3.6","2.6"
"IMF.STA:MFS_IR(8.0.1)","MDA.MFS166_RT_PT_A_PT.A","OBS_VALUE","Moldova, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0","13.0","9.5","14.0","14.5","12.5","14.5","16.0","14.0","5.0","7.0","9.5","4.5","3.5","6.5","19.5","9.0","6.5","6.5","5.5","2.65","6.5","20.0","4.75",""
"IMF.STA:MFS_IR(8.0.1)","AGO.MFS166_RT_PT_A_PT.A","OBS_VALUE","Angola","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.25","9.75","9.0","11.0","16.0","18.0","16.5","15.5","15.5","20.0","19.5","18.0","19.5"
"IMF.STA:MFS_IR(8.0.1)","AZE.MFS166_RT_PT_A_PT.A","OBS_VALUE","Azerbaijan, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","14.0","10.0","10.0","10.0","7.0","7.0","7.0","9.0","9.5","13.0","8.0","2.0","3.0","5.25","5.0","4.75","3.5","3.0","15.0","15.0","9.75","7.5","6.25","7.25","8.25","8.0","7.25"
"IMF.STA:MFS_IR(8.0.1)","QAT.MFS166_RT_PT_A_PT.A","OBS_VALUE","Qatar","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33","2.6","4.5","5.5","5.5","5.5","5.5","5.5","4.5","4.5","4.5","4.5","4.5","4.75","5.0","5.0","4.25","2.5","2.5","5.5","6.25","5.1"
"IMF.STA:MFS_IR(8.0.1)","SRB.MFS166_RT_PT_A_PT.A","OBS_VALUE","Serbia, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","9.0","8.5","8.5","14.0","10.0","17.75","9.5","11.5","9.75","11.25","9.5","8.0","4.5","4.0","3.5","3.0","2.25","1.0","1.0","5.0","6.5","5.75"
"IMF.STA:MFS_IR(8.0.1)","IRQ.MFS166_RT_PT_A_PT.A","OBS_VALUE","Iraq","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0","16.0","20.0","15.0","7.0","6.0","6.0","6.0","6.0","6.0","6.0","4.0","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","BRA.MFS166_RT_PT_A_PT.A","OBS_VALUE","Brazil","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.75","19.0","25.0","16.5","17.75","18.0","13.25","11.25","13.75","8.75","10.75","11.0","7.25","10.0","11.75","14.25","13.75","7.0","6.5","4.5","2.0","9.25","13.75","11.75","12.25"
"IMF.STA:MFS_IR(8.0.1)","TJK.MFS166_RT_PT_A_PT.A","OBS_VALUE","Tajikistan, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","6.5","5.5","8.0","8.0","12.5","16.0","14.0","12.25","","","","",""
"IMF.STA:MFS_IR(8.0.1)","DOM.MFS166_RT_PT_A_PT.A","OBS_VALUE","Dominican Republic","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0","10.0","8.0","7.0","9.5","4.0","5.0","6.75","5.0","6.25","6.25","5.0","5.5","5.25","5.5","4.5","3.0","3.5","8.5","7.0","6.0"
"IMF.STA:MFS_IR(8.0.1)","SUR.MFS166_RT_PT_A_PT.A","OBS_VALUE","Suriname","Monetary policy-related, Rate, Percent per annum","Annual","Units","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","18.0","18.0","18.0","18.0","14.0","14.0","14.0","14.0","14.0","10.0","9.0","9.0","9.0","9.0","9.0","10.0","10.0","12.5","25.0","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","SWE.MFS166_RT_PT_A_PT.A","OBS_VALUE","Sweden","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","3.0","2.0","1.5","2.5","3.5","2.0","0.5","0.5","1.91","1.14","1.0","1.0","0.0","-0.5","-0.5","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","PRY.MFS166_RT_PT_A_PT.A","OBS_VALUE","Paraguay","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.25","5.5","6.0","6.75","5.75","5.5","5.25","5.25","4.0","0.75","","","",""
"IMF.STA:MFS_IR(8.0.1)","ARM.MFS166_RT_PT_A_PT.A","OBS_VALUE","Armenia, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.0","15.0","13.5","7.0","3.75","3.5","4.75","5.75","7.25","5.0","7.25","8.0","8.0","7.75","8.5","8.75","6.25","6.0","6.0","5.5","5.25","7.75","10.75","9.25","7.0"
"IMF.STA:MFS_IR(8.0.1)","MLI.MFS166_RT_PT_A_PT.A","OBS_VALUE","Mali","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","3.5","3.0","3.0","3.25","3.25","3.75","3.25","3.25","3.25","3.0","2.5","2.5","2.5","2.5","","","","","","","",""
