"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","BOP_ACCOUNTING_ENTRY","INDICATOR","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:BOP(21.0.0)","COD.NNAFANIL_T.D_F.USD.A","OBS_VALUE","Congo, Democratic Republic of the","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-166.6","-237.7","-1793.7","-1672.7","278.0","-2735.1","-1596.02430385686","-2891.60780909542","-1697.58583080626","-1499.57215249797","-1165.72001030767","-932.374669380907","-1047.97948255526","-1407.563588424227","-1350.994226205354","-1498.084807864801","-1677.673789735612","-1409.37384176263","-2375.25888651998","-2915.055322566375"
"IMF.STA:BOP(21.0.0)","COD.NNAFANIL_T.FAB.USD.A","OBS_VALUE","Congo, Democratic Republic of the","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-525.4","112.09","355.88","-30.6","-861.98758786026","8778.26020419457","-318.049120627688","-601.062771448588","-2771.80428687442","-1253.08477499045","-1300.03520886531","-1325.0800902725","-926.642253701919","-1442.06302516915","-676.791856120284","-233.486225870856","-851.5731520932413","-2528.85750789981","-3460.488787943891","-1826.228177985604"
"IMF.STA:BOP(21.0.0)","QAT.NNAFANIL_T.FAB.USD.A","OBS_VALUE","Qatar","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47798.74505494506","54368.44780219781","56430.63186813186","44940.79068131639","13432.96417080248","-10259.90125440025","7108.51648351647","15331.86813186814","3266.758241758239","-4452.197802197802","24518.95604395604","60928.02197802198","36410.16483516484","36289.010989011"
"IMF.STA:BOP(21.0.0)","QAT.NNAFANIL_T.P_F.USD.A","OBS_VALUE","Qatar","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19028.36236263736","-2799.34065934066","18310.16483516483","19932.96703296703","16548.35164835166","-6068.818681318679","-9203.296703296708","5324.175824175833","-2178.846153846156","12548.9010989011","12160.71428571428","12148.62637362637","29439.01098901099","26319.23076923077"
"IMF.STA:BOP(21.0.0)","QAT.NNAFANIL_T.D_F.USD.A","OBS_VALUE","Qatar","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9170.012637362637","1444.23076923077","8861.813186813188","5707.967032967033","2952.472527472528","7128.021978021977","708.7912087912086","5709.065934065934","7262.912087912088","5164.010989010989","1253.296703296703","2307.692307692308","282.692307692307","1102.747252747253"
"IMF.STA:BOP(21.0.0)","CRI.NNAFANIL_T.FAB.USD.A","OBS_VALUE","Costa Rica","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-253.9","-413.2","-479.3","-731.7","-340.60253344","-102.7","-203.1","-46.0038902500001","17.3800000000001","16.7999999999999","-124.4","47.7","-202.3","-383.8","20.69","-167.0","-321.1","15.6","-258.799","-93.84","-323.054","-703.32","-452.1445642999992","-470.7544003623887","-359.7118641794157","-590.3732857661338","-624.43084235769","-800.3174541556957","-1158.328196092484","-604.5226089100468","-1235.02844487617","-2991.561467581466","-374.5800733394856","-1641.973005490939","-2872.637217714039","-2034.175375868499","-3083.520674446257","-3009.498332207203","-2610.551363903041","-1546.638585802857","-2445.138495597187","-2202.61061690325","-178.493111924052","-1173.922756611701","-1177.554000653008","-1310.938314347427","-610.415683449766","-737.388238592951"
"IMF.STA:BOP(21.0.0)","CRI.NNAFANIL_T.D_F.USD.A","OBS_VALUE","Costa Rica","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-62.5","-47.0","-42.4","-48.1","-66.2","-26.5","-55.3","-52.0","-65.2","-57.4","-75.8","-121.3","-95.3","-160.4","-172.8","-221.6","-244.4","-292.9","-331.4","-421.26","-403.76","-608.26","-614.46563","-616.036841102486","-553.4218697052618","-590.8356895932537","-622.0985600452774","-877.263569938362","-1379.189636065184","-1582.059954758753","-1811.870260727354","-2239.506641003801","-1340.318000259581","-1589.209907720508","-2328.216841498135","-1802.734886367237","-2401.451080392941","-2817.739362285129","-2541.308963661304","-2127.035024213934","-2652.093384405295","-2433.79081079928","-2695.142885440966","-1644.265639482326","-3146.180283144472","-3060.056476990413","-3700.614748288033","-4275.037258595127"
"IMF.STA:BOP(21.0.0)","CRI.NNAFANIL_T.P_F.USD.A","OBS_VALUE","Costa Rica","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.5","-20.9","0.0","-122.0","2.4","1.9","2.6","0.2","13.5","2.5","0.0","6.0","13.2","28.2","13.0","16.9","5.1","1.2","24.8","21.54","-76.69","79.82","-85.171741","163.3402009018566","-24.3849781561329","-109.2763461297435","-17.2199910142152","52.1224360192112","137.8686006226779","286.1633475688392","92.9975475720718","-249.4870655872628","277.9888144380277","-229.151929109842","-236.9088184977016","-2137.825478484962","-2206.092835769892","-575.135570374734","-572.8106440111839","-415.8005743854107","-402.3216551205571","1031.845477942231","-56.5859170121745","1096.951088956339","3393.439602193149","2827.184982490428","467.974826315432","3053.474766344519"
"IMF.STA:BOP(21.0.0)","WBG.NNAFANIL_T.D_F.USD.A","OBS_VALUE","West Bank and Gaza","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4","-35.3","-6.9","-58.03873866454","-19.2235387315733","156.135123537344","344.518636025423","336.713148981665","30.528","-57.9334406507552","-4.05927701055604","110.83543438065","15.5638273253155","-55.7835196128342","-231.154537187959","-121.859266492298","-477.386324439714","-29.31310006589565","-224.0460973777906","27.74370677234336","-29.6679057223233","-341.4581012866234","-191.1957260977462","-282.50958101843","-188.3568685061447","-138.8483180324417","-295.5226936045885","-390.2251235436795","-100.376299064141","-151.4878351859409"
"IMF.STA:BOP(21.0.0)","WBG.NNAFANIL_T.P_F.USD.A","OBS_VALUE","West Bank and Gaza","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.3","64.6","91.2","79.283855736338","104.981781420458","52.4861882648337","85.887065276445","91.5232487614787","91.734444958072","8.052161428739","1.5502992912607","4.8599344082966","138.058223496263","116.338616213686","180.776033903307","367.378304537638","121.068787327583","16.18224511464989","-149.4134424459183","179.0253748123332","-124.5766472958499","187.3536924862805","201.4518080902805","-25.74710023558185","35.50106283919578","-69.12831576781008","-86.666511038863","172.6691308065503","305.9698504537304","148.9835941601936"
